标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
高清20普物《大学物理》（全）含配套讲义 同济大学,2389,229,[],11731,3905,http://www.bilibili.com/video/av62023270
【大学物理期末速成】大学物理速成下 大学物理速成电磁学 大学物理速成课（大学物理速成光学刚体力学不挂科大学物理峰考）大学物理速通大学物理速学,8,6,[],290,88,http://www.bilibili.com/video/av1701630292
大学物理_华中科技大学_主讲-项林川 160讲,39,37,[],918,261,http://www.bilibili.com/video/av460901427
马文蔚-大学物理-上册-东北大学,1428,40,[],2609,1499,http://www.bilibili.com/video/av640450544
《大学物理》机械振动与机械波——西安电子科技大学,2235,189,[],6037,4533,http://www.bilibili.com/video/av968460363
大学物理-光学,3008,221,[],10825,5468,http://www.bilibili.com/video/av372526252
【大学物理】-东北大学-耿  平-国家级精品课-全95课,4,3,[],194,64,http://www.bilibili.com/video/av807574342
《大学物理》波动光学——西安电子科技大学,2629,231,[],6574,4361,http://www.bilibili.com/video/av625885822
大学物理(上) 可视化详解学习！| 第二讲 | 18分钟学习 刚体力学基础,777,62,[],4389,4071,http://www.bilibili.com/video/av215676230
【大学物理】大学物理(下) 全87集 北工大 北京工业大学 1-12章,914,54,[],5786,2113,http://www.bilibili.com/video/av95834742
大学物理(下) 可视化详解学习！| 第九讲 | 58分钟学习 真空中的静电场,1002,127,[],7184,5731,http://www.bilibili.com/video/av386350482
大学物理：电磁学,3305,151,[],12285,5615,http://www.bilibili.com/video/av40156852
《大学物理》气体动理论与热力学——西安电子科技大学,1964,172,[],5238,3739,http://www.bilibili.com/video/av328455081
理论力学（物理类） 主讲：哈尔滨工业大学物理学院 任延宇,22224,2570,[],52108,26978,http://www.bilibili.com/video/av80279793
《大学物理》重点笔记+知识点总结+公式,1,1,[],13,8,http://www.bilibili.com/video/av1454218604
《大学物理》机械振动与机械波——西安电子科技大学,2235,189,[],6037,4533,http://www.bilibili.com/video/av968460363
大学物理速成课（刚跟朋友讨来给大家救命用）,6,12,[],329,170,http://www.bilibili.com/video/av525400370
大学物理-光学,3008,221,[],10825,5468,http://www.bilibili.com/video/av372526252
《大学物理》波动光学——西安电子科技大学,2629,231,[],6574,4361,http://www.bilibili.com/video/av625885822
大学物理(上) 可视化详解学习！| 第二讲 | 18分钟学习 刚体力学基础,777,62,[],4389,4071,http://www.bilibili.com/video/av215676230
高清20普物《大学物理》（全）含配套讲义 同济大学,2389,229,[],11731,3905,http://www.bilibili.com/video/av62023270
【大学物理】大学物理(下) 全87集 北工大 北京工业大学 1-12章,914,54,[],5786,2113,http://www.bilibili.com/video/av95834742
大学物理(下) 可视化详解学习！| 第九讲 | 58分钟学习 真空中的静电场,1002,127,[],7184,5731,http://www.bilibili.com/video/av386350482
大学物理：电磁学,3305,151,[],12285,5615,http://www.bilibili.com/video/av40156852
《大学物理》气体动理论与热力学——西安电子科技大学,1964,172,[],5238,3739,http://www.bilibili.com/video/av328455081
理论力学（物理类） 主讲：哈尔滨工业大学物理学院 任延宇,22224,2570,[],52108,26978,http://www.bilibili.com/video/av80279793
《大学物理》重点笔记+知识点总结+公式,1,1,[],13,8,http://www.bilibili.com/video/av1454218604
【大学物理】-东北大学-耿  平-国家级精品课-全95课,4,3,[],194,64,http://www.bilibili.com/video/av807574342
大学物理学(第五版)——力矩 刚体定轴转动转动定律,798,128,[],1915,3281,http://www.bilibili.com/video/av887195195
大学物理1（已完结）1080P HD修复College Physics,0,14,[],538,158,http://www.bilibili.com/video/av1051296952
大学物理下知识点总结,262,120,[],3513,1911,http://www.bilibili.com/video/av921779746
大学物理 《电磁学》【中科大少年班精品课】叶邦角教授（116讲）,2669,489,[],15512,5968,http://www.bilibili.com/video/av545184609
国防科技大学 大学物理,0,7,[],381,75,http://www.bilibili.com/video/av834637309
大学物理 1-1-质点运动的描述1-参考系-质点-位失-运动方程-位移,49,19,[],793,390,http://www.bilibili.com/video/av553000639
大学物理习题讲解 第一章 质点运动学,253,75,[],2675,1710,http://www.bilibili.com/video/av253099201
大学物理：热学,924,112,[],6938,2973,http://www.bilibili.com/video/av31621697
基础物理Ⅱ（耶鲁大学）,3,12,[],1665,503,http://www.bilibili.com/video/av1651093953
【公开课】大学物理 黎光旭主讲（全73讲）,13,1,[],255,86,http://www.bilibili.com/video/av596302112
大学物理知识梳理与例题选讲：狭义相对论,1554,273,[],5046,4416,http://www.bilibili.com/video/av15048281
【大学物理—振动与波动】  期末不挂科|1小时速成课  大物 振动与波动 振动与波  期末复习|考前必看|临时抱佛脚,123,47,[],448,218,http://www.bilibili.com/video/av965257847
大学物理简明教程——切向加速度 法向加速度,1029,129,[],1768,3486,http://www.bilibili.com/video/av756793583
期末考试复习资料推荐！《大学物理》知识点总结+复习资料+考试重点,0,1,[],11,2,http://www.bilibili.com/video/av1904073218
