标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
第二章：导数与微分（高等数学上，同济大学第七版）,82076,101,1647,1560,254:22,http://www.bilibili.com/video/av986855685
大学数学巧解高中题（完整版）,35593,50,2627,884,400:11,http://www.bilibili.com/video/av583263548
极坐标【高数预备知识(简要版)】宋浩老师,420102,277,6848,11115,16:34,http://www.bilibili.com/video/av856910777
高数易懂极速上手课！函数极限+求法,251675,629,9057,11156,19:37,http://www.bilibili.com/video/av450169210
【考研 高等数学】全程基础教学 | 概念详解+例题精讲 — 上册,50283,114,2395,1492,2215:9,http://www.bilibili.com/video/av807180760
高等数学精讲 | 第11讲：多元函数微分学（part 2）,93217,89,1228,2606,183:33,http://www.bilibili.com/video/av401718746
【离散数学】华南理工大学公开课 | 高清合集,303872,120,8081,3436,574:35,http://www.bilibili.com/video/av715277063
【完结】3小时讲不完《常微分方程》（纯手写板书）/微积分、高等数学的《常微分方程》也可看,117164,189,4941,3156,362:59,http://www.bilibili.com/video/av692613269
上海交通大学-高等数学（国家级精品课）,258286,284,16366,4363,5858:29,http://www.bilibili.com/video/av62546514
【高等数学（下）】2022 通关速学 第4章 曲线积分 曲面积分,405575,446,8361,13326,78:21,http://www.bilibili.com/video/av299504804
十分钟学会高数极限入门知识,30020,17,564,449,33:45,http://www.bilibili.com/video/av389914064
【大学文科数学】南开大学丨含课件,88715,148,4062,1780,4854:0,http://www.bilibili.com/video/av202067443
最全面的大学数学参考书推荐和学习指南！,52167,146,3562,1832,13:36,http://www.bilibili.com/video/av936558534
微积分全集从入门到精通（通俗易懂，无需强记，虽时隔多日，仍记忆犹新）更新中,51701,84,2961,1237,297:46,http://www.bilibili.com/video/av547210752
【高等数学（下）】2022 通关速学 第3章 重积分,344997,264,6019,9670,76:19,http://www.bilibili.com/video/av554538528
10秒速算法向量，大学数学降维打击！看完不光会算了，还会假装写过程了，给自己比个yeah！,69963,307,3235,3080,8:57,http://www.bilibili.com/video/av978165803
高等数学精讲 | 第11讲：多元函数微分学（part 1）,130965,192,2317,3804,219:39,http://www.bilibili.com/video/av996561997
b站最易懂：常微分方程（王高雄）课程（不挂科）期末速通（持续更新中）,406070,785,12383,9980,341:25,http://www.bilibili.com/video/av736040759
张宇 宇哥 带你学大学数学——期末考试过关必备与高分指南,80166,55,3509,941,1742:11,http://www.bilibili.com/video/av18675597
第三章：微分中值定理与导数应用（高等数学上，同济大学第七版）,56293,61,1062,1173,378:30,http://www.bilibili.com/video/av431771232
【完整免费 20年资深教学】2024考研数学全程课  首次公益公开 高等数学 全程干货无废话 快速备考 知识点全面透彻|大学同步教材|期末考试|考研,12927,42,1086,475,638:23,http://www.bilibili.com/video/av483195727
高等数学精讲 | 第12讲：重积分计算,108320,173,1624,3254,236:44,http://www.bilibili.com/video/av911988440
常微分方程_1_看完期末不挂科,225828,187,7024,5096,42:0,http://www.bilibili.com/video/av795519337
第四章：不定积分（高等数学上，同济大学第七版）,58924,79,1266,1428,167:34,http://www.bilibili.com/video/av304685636
【大一必关注】同济大学第七版《高等数学》|应是全网高数|微积分学习的最佳配套视频！,9171,7,230,194,3188:22,http://www.bilibili.com/video/av316225327
【大一必关注】《高等数学》上下合集||一个知识点一个知识点讲解，应是全网高数|微积分学习的最佳配套视频！,27473,33,902,441,1664:34,http://www.bilibili.com/video/av273717412
数学到底应该怎么学：清华学长分享从小学到大学都适用的一套方法！,43313,151,3333,2063,9:24,http://www.bilibili.com/video/av857513905
清华数学系有多难？大学数学怎么学？,115501,277,1726,3805,5:35,http://www.bilibili.com/video/av200861356
难到崩溃？！一个视频讲透数学/统计类所有专业/行业！【框框的b站大学-数学类、统计学类】数学与应用数学、师范、信息与计算科学、统计学、应用统计学…,894455,1561,34163,29336,47:31,http://www.bilibili.com/video/av859741521
往年大学数学三大课期末考题解答（山东财经大学）,51588,239,1393,1258,974:22,http://www.bilibili.com/video/av249713941
高等数学（上册）--同济八版~~精讲,55909,128,2221,1084,1531:48,http://www.bilibili.com/video/av533792450
导数题难！是因为会从这些大学数学知识中出题,153877,1070,10910,9423,2:11,http://www.bilibili.com/video/av653958485
【高等数学(上)】20小时高分|微积分|高数,3219378,1696,80427,53921,117:44,http://www.bilibili.com/video/av38591211
